query_type,mode,bleu_1,bleu_4,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_l_p,rouge_l_r,rouge_l_f,bleu_1,bleu_4,rouge_1,rouge_2,rouge_l,jaccard,char_jaccard,cosine,levenshtein,judge_accuracy,judge_completeness,judge_groundedness,judge_average,precision_at_5,recall_at_5,mrr,elapsed_s,backend_ms,net_overhead,lat_per_step,words_per_sec,steps,prompt_tokens,completion_tokens,cost,word_count,char_count,sentence_count,paragraph_count,avg_word_len,avg_sent_len,ttr,citations,temporal_refs,bullet_points,timing_planner,timing_router,timing_memory,timing_retrieval,timing_legal,timing_news,timing_general_qa,timing_aggregator,timing_validator,timing_response
simple,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.056918547595682045,2.0,3.0,1.0,2.0,1.0,1.0,1.0,45.404250000000005,39597.4875,5.806762500000001,1568.6239153846154,0.1554061479006334,25.25,3892.0,830.0,0.0010818,7.0,62.0,1.0,1.0,8.833333333333334,7.0,1.0,0.0,0.0,0.0,0.035,324.8625,0.7725,1649.6725,13454.1375,18703.7325,2982.3375,0.1075,2465.1800000000003,0.0175
simple,dag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.056918547595682045,2.0,3.0,1.0,2.0,1.0,1.0,1.0,38.913,37897.86,1.0151399999999953,1457.6100000000001,0.17988846914912757,26.0,3892.0,830.0,0.0010818,7.0,62.0,1.0,1.0,8.833333333333334,7.0,1.0,0.0,0.0,0.0,0.02,313.89,0.73,1686.98,30494.95,18002.09,2900.31,0.08,2487.21,0.02
simple,legal_first,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.056918547595682045,2.0,3.0,1.0,2.0,1.0,1.0,1.0,38.183,37079.44,1.1035599999999945,1685.429090909091,0.18332765890579578,22.0,2821.0,775.0,0.00088815,7.0,62.0,1.0,1.0,8.833333333333334,7.0,1.0,0.0,0.0,0.0,0.02,380.75,0.65,2011.62,13517.01,18603.6,0.0,0.06,2551.96,0.01
simple,legal_news_parallel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.056918547595682045,2.0,3.0,1.0,2.0,1.0,1.0,1.0,36.172,35003.17,1.1688299999999998,1591.0531818181817,0.19351984960743118,22.0,2821.0,775.0,0.00088815,7.0,62.0,1.0,1.0,8.833333333333334,7.0,1.0,0.0,0.0,0.0,0.02,321.53,0.75,1638.85,21920.86,24378.71,0.0,0.08,2441.94,0.02
simple,parallel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.056918547595682045,2.0,3.0,1.0,2.0,1.0,1.0,1.0,38.642,37588.38,1.0536200000000022,1503.5351999999998,0.1811500439935821,25.0,3892.0,830.0,0.0010818,7.0,62.0,1.0,1.0,8.833333333333334,7.0,1.0,0.0,0.0,0.0,0.02,299.65,0.51,1649.71,14282.81,32040.54,18318.47,0.07,2380.12,0.01
simple,planner_based,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.056918547595682045,2.0,3.0,1.0,2.0,1.0,1.0,1.0,19.69,18537.42,1.152580000000004,975.6536842105262,0.35551041137633316,19.0,2085.0,387.0,0.0005449499999999999,7.0,62.0,1.0,1.0,8.833333333333334,7.0,1.0,0.0,0.0,0.0,1112.55,322.64,0.67,1699.96,12982.88,0.0,0.0,0.04,2408.13,0.02
simple,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.056918547595682045,2.0,3.0,1.0,2.0,1.0,1.0,1.0,18.11,17092.1,1.017900000000001,899.5842105263157,0.3865267807840972,19.0,1824.0,350.0,0.00048359999999999994,7.0,62.0,1.0,1.0,8.833333333333334,7.0,1.0,0.0,0.0,0.0,0.02,296.98,0.76,1513.44,12887.02,0.0,0.0,0.05,2383.55,0.01
simple,verify_only,0.28952938781045184,0.17200010354600132,0.573170731707317,0.34057971014492755,0.42727272727272725,0.35802469135802467,0.2116788321167883,0.2660550458715596,0.4268292682926829,0.2536231884057971,0.31818181818181823,0.28952938781045184,0.17200010354600132,0.42727272727272725,0.2660550458715596,0.31818181818181823,0.3490566037735849,0.7435897435897436,0.6251744591799505,0.3925417075564279,5.0,4.0,3.0,4.0,1.0,1.0,1.0,9.242,8166.81,1.075190000000001,583.3435714285714,8.872538411599221,14.0,2120.0,265.0,0.00047699999999999994,82.0,598.0,3.0,2.0,6.109756097560975,27.333333333333332,0.8292682926829268,0.0,0.0,0.0,0.02,324.83,0.77,849.52,0.0,0.0,0.0,2431.2,2066.83,2486.77
